Country/Region,Confirmed,Deaths,Recovered,MortalityRate,RecoveryRate
United States,103436829,1127152,0,1.09,0
India,45035393,533570,0,1.185,0
France,40138560,167642,0,0.418,0
Germany,38437756,174979,0,0.455,0
Brazil,37519960,702116,0,1.871,0
Japan,33803572,74694,0,0.221,0
South Korea,34571873,35934,0,0.104,0
Italy,26723249,196487,0,0.735,0
United Kingdom,24658705,220721,0,0.895,0
Russia,22911996,399999,0,1.746,0
Turkey,17042722,101492,0,0.596,0
Spain,13914811,121760,0,0.875,0
Vietnam,11624000,43206,0,0.372,0
Australia,11450000,23500,0,0.205,0
Mexico,7702809,334958,0,4.349,0
Peru,4523420,220975,0,4.886,0
Colombia,6384221,143200,0,2.243,0
Chile,5290000,64497,0,1.219,0
Argentina,10044957,130472,0,1.299,0
Canada,4938000,59034,0,1.195,0
